what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286424989368
opened,editor,com.android.ide.eclipse.adt,0.9.8.v201008281755-53891,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1286424996068
activated,editor,com.android.ide.eclipse.adt,0.9.8.v201008281755-53891,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1286424996114
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286425000370
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1286425004993
no handler,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1286425006378
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286425010209
activated,editor,com.android.ide.eclipse.adt,0.9.8.v201008281755-53891,"com.android.ide.eclipse.editors.layout.LayoutEditor",1286425024317
activated,editor,com.android.ide.eclipse.adt,0.9.8.v201008281755-53891,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1286425026877
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1286425039169
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1286425044094
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1286425044193
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286425044209
activated,editor,com.android.ide.eclipse.adt,0.9.8.v201008281755-53891,"com.android.ide.eclipse.editors.layout.LayoutEditor",1286425046046
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1286425064106
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286425072973
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1286425077673
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286425177335
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286425196642
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1286425200163
started,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1286425201709
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286425211116
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286425211205
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286425223540
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286425223702
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286425231201
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286425231381
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286425248886
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286425302847
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286425309429
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286425309593
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286425315146
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286425569972
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1286425593750
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1286425610255
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1286425610292
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1286425619817
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286425631164
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286425631282
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1286425636310
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286425636937
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.window.openEditorDropDown",1286425636949
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286425638459
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286425639429
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1286425646099
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286425666714
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286425666928
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1286425671257
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286425677377
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286425677485
